"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Belize","BLZ","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","1820000.05245209","2819999.9332428","5519999.98092651","4059999.94277954","1549999.95231628","2130000.11444092","2579999.92370605","5840000.15258789","5519999.98092651","6840000.15258789","5949999.80926514","5070000.17166138","4010000.22888184","4670000.07629395","6219999.79019165","8710000.03814697","11630000.1144409","9529999.73297119","18219999.3133545","20719999.3133545","14500000","11310000.4196167","12029999.7329712","15060000.4196167","13899999.6185303","21930000.3051758","24059999.4659424","23479999.5422363","25010000.2288818","28520000.4577637","30319999.6948242","21770000.4577637","26159999.8474121","31110000.6103516","32169998.1689453","18829999.9237061","21030000.6866455","13771499.6337891","14523200.0350952","47402629.8522949","16146200.1800537","22488393.7835693","23278892.5170898","12678893.0892944","6695000.17166138","11724066.734314","7734066.9631958","21283067.7032471","23367500.3051758","26237499.2370605","24459999.0844727","20993192.6727295","26207256.3171387","51266910.5529785","37564182.2814941","28267847.0611572","34960300.4455566","34203254.699707","33832420.3491211","35798328.3996582","69899658.203125","77875175.4760742","21012914.6575928","31858842.8497314","",
"Bermuda","BMU","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","9999.99977648258","50000.0007450581","59999.9986588955","59999.9986588955","39999.9991059303","9999.99977648258","9999.99977648258","","9999.99977648258","","29999.9993294477","19999.9995529652","29999.9993294477","79999.9982118607","159999.996423721","150000.005960464","280000.001192093","209999.993443489","70000.0002980232","70000.0002980232","79999.9982118607","939999.997615814","90000.0035762787","230000.004172325","39999.9991059303","100000.001490116","42189998.626709","-4719999.79019165","-5000000","-4820000.17166138","-12479999.5422363","-2079999.92370605","-4070000.17166138","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","13319999.6948242","23370000.8392334","32680000.3051758","48099998.4741211","37880001.0681152","35369998.9318848","30040000.9155273","29959999.0844727","42020000.4577637","33270000.4577637","29780000.6866455","32020000.4577637","47720001.2207031","24090000.1525879","54000000","47400001.5258789","54849998.4741211","68169998.1689453","114919998.168945","123580001.831055","137940002.441406","124970001.220703","109500000","153070007.324219","130809997.558594","159199996.948242","251279998.779297","282070007.324219","408559997.558594","484279998.779297","485040008.544922","477809997.558594","656890014.648438","546619995.117188","539099975.585938","678820007.324219","760099975.585938","628289978.027344","549391540.527344","519808654.785156","426082000.732422","675960266.113281","600330932.617188","762626892.089844","706658569.335938","542883361.816406","807596679.6875","438792480.46875","589157653.808594","611689575.195313","513760009.765625","545965576.171875","661718444.824219","702299255.371094","674557189.941406","791314147.949219","696505126.953125","949160339.355469","728865722.65625","709306457.519531","340416137.695313","507969451.904297","335734771.728516","764393493.652344","",
"Brazil","BRA","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","39580001.8310547","290709991.455078","179990005.493164","185220001.220703","235490005.493164","234550003.051758","320920013.427734","180669998.168945","219669998.168945","139080001.831055","136850006.103516","120069999.694824","94430000.3051758","65099998.4741211","129809997.558594","132580001.831055","92529998.7792969","67559997.5585938","89279998.7792969","87760002.1362305","83150001.5258789","227130004.882813","177690002.441406","106720001.220703","153559997.558594","84970001.2207031","147740005.493164","293089996.337891","218750000","232399993.896484","174380004.882813","196139999.389648","-235585006.713867","197522994.995117","259872985.839844","264333007.8125","257803009.033203","229787170.410156","260614166.259766","144382965.087891","255680694.580078","252017349.243164","236407394.40918","229301376.342773","178276565.551758","217244155.883789","110200004.577637","328590820.3125","468634643.554688","374810668.945313","437130004.882813","840694885.253906","1288543701.17188","1155725097.65625","914151489.257813","1003186096.19141","674627136.230469","273873596.191406","444970092.773438","273563262.939453","613681701.660156","1115631103.51563","578414184.570313","699971862.792969","",
"Barbados","BRB","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","1600000.02384186","589999.973773956","850000.023841858","1299999.95231628","2319999.9332428","4570000.17166138","4699999.80926514","4639999.8664856","3589999.91416931","4320000.17166138","5789999.96185303","4679999.82833862","8880000.11444092","6400000.09536743","7110000.1335144","10550000.1907349","8560000.4196167","16309999.4659424","5699999.80926514","6050000.19073486","4510000.22888184","4750000","1830000.04291534","990000.009536743","2279999.97138977","2319999.9332428","1279999.97138977","4980000.01907349","2900000.09536743","509999.990463257","5730000.01907349","5840000.15258789","17180000.3051758","-589999.973773956","1799999.95231628","319999.992847443","4750000","21270000.4577637","30299999.2370605","-629999.995231628","-889999.985694885","18700000.7629395","9279999.73297119","11750000","15579999.9237061","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","9999.99977648258","479999.989271164","730000.019073486","39999.9991059303","70000.0002980232","79999.9982118607","79999.9982118607","70000.0002980232","29999.9993294477","29999.9993294477","9999.99977648258","50000.0007450581","19999.9995529652","119999.997317791","150000.005960464","140000.000596046","109999.999403954","79999.9982118607","100000.001490116","90000.0035762787","29999.9993294477","189999.997615814","270000.010728836","439999.997615814","810000.002384186","1399999.97615814","2539999.96185303","3240000.00953674","4519999.98092651","4559999.94277954","3880000.11444092","3619999.88555908","5369999.88555908","5070000.17166138","5260000.22888184","4289999.96185303","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","9999.99977648258","9999.99977648258","159999.996423721","50000.0007450581","9999.99977648258","140000.000596046","100000.001490116","209999.993443489","140000.000596046","189999.997615814","519999.980926514","610000.014305115","2099999.90463257","3220000.02861023","2900000.09536743","3119999.88555908","4960000.03814697","8060000.4196167","9649999.61853027","11250000","12369999.8855591","16709999.0844727","20649999.6185303","36639999.3896484","36560001.373291","35900001.5258789","37090000.1525879","41450000.7629395","55360000.6103516","52919998.1689453","61740001.6784668","72419998.1689453","69459999.0844727","57098865.5090332","59337253.5705566","52437252.0446777","65618385.3149414","47099536.895752","54609535.2172852","60018333.4350586","72862335.2050781","72130035.4003906","78765029.9072266","92417831.4208984","95639160.15625","79019462.5854492","101373390.197754","87379997.253418","118645973.205566","161646438.598633","136796279.907227","130640213.012695","97276359.5581055","51595958.7097168","118542297.363281","107920967.102051","179687484.741211","203699218.75","128337051.391602","195201110.839844","156838043.212891","",
"Botswana","BWA","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","3430000.0667572","5460000.03814697","5239999.77111816","5329999.92370605","8869999.88555908","10300000.1907349","17879999.1607666","18260000.2288818","16739999.7711182","13359999.6566772","14199999.8092651","17649999.6185303","31409999.8474121","36069999.6948242","36450000.7629395","50939998.626709","47380001.0681152","47250000","68769996.6430664","99410003.6621094","105269996.643066","96470001.2207031","101139999.389648","103120002.746582","101930000.305176","95620002.746582","100660003.662109","154839996.337891","149800003.051758","157940002.441406","145220001.220703","131070007.324219","111260002.13623","129899993.896484","85180000.3051758","89656669.6166992","74566665.6494141","121616668.701172","106250000","60889999.3896484","30620000.8392334","28929666.519165","37309665.6799316","28055000.3051758","46605331.4208984","48266208.6486816","66606132.5073242","105073432.922363","723095886.230469","282345886.230469","153169998.168945","118504371.643066","73073074.3408203","107366989.135742","99372596.7407227","65539047.2412109","90570678.7109375","102091934.204102","85853736.8774414","67981483.4594727","80222389.2211914","97650299.0722656","90755447.3876953","284583099.365234","",
"Central African Republic","CAF","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","29999.9993294477","419999.986886978","1139999.98569489","1980000.01907349","16790000.9155273","15779999.7329712","15659999.8474121","20569999.6948242","17290000.9155273","19809999.4659424","14380000.1144409","15550000.1907349","25649999.6185303","25600000.3814697","36580001.8310547","54750000","38689998.626709","44889999.3896484","50950000.7629395","83360000.6103516","110120002.746582","101199996.948242","89459999.0844727","92360000.6103516","131690002.441406","103849998.474121","135139999.389648","180009994.506836","204690002.441406","188759994.506836","248889999.389648","173440002.441406","177649993.896484","171740005.493164","167559997.558594","167779998.779297","169130004.882813","91554901.1230469","120621566.772461","118761566.162109","75901199.3408203","76214866.6381836","60014533.996582","51500000","110056335.449219","88966667.175293","133588333.129883","180008178.710938","260369384.765625","241139984.130859","243050003.051758","268772399.902344","228022979.736328","202817337.036133","610999206.542969","486916320.800781","506760589.599609","511977661.132813","641049621.582031","677426879.882813","833897827.148438","660260131.835938","683818237.304688","737595642.089844","",
"Canada","CAN","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
